sno,name,symbol,date,high,low,open,close,volume,marketcap,coin,daily_return
1,Binance Coin,BNB,2017-07-26 23:59:59,0.1090129986405372,0.0992655009031295,0.10589300096035,0.1051379963755607,200395.0,10513800.0,Binance Coin,
2,Binance Coin,BNB,2017-07-27 23:59:59,0.1084790006279945,0.1008879989385604,0.1051080003380775,0.1077369973063469,344499.0,10773700.0,Binance Coin,2.4719901656698573
3,Binance Coin,BNB,2017-07-28 23:59:59,0.1090189963579177,0.1014730036258697,0.107632003724575,0.1040669977664947,342568.0,10406700.0,Binance Coin,-3.4064431268830186
4,Binance Coin,BNB,2017-07-29 23:59:59,0.1112639978528022,0.1011079996824264,0.1047820001840591,0.1078109964728355,340218.0,10781100.0,Binance Coin,3.5976810965005157
5,Binance Coin,BNB,2017-07-30 23:59:59,0.1081380024552345,0.1031619980931282,0.1079349964857101,0.1064139977097511,224261.0,10641400.0,Binance Coin,-1.295785039364139
6,Binance Coin,BNB,2017-07-31 23:59:59,0.1083490028977394,0.1015999987721443,0.1068279966711998,0.1042499989271164,240309.0,10425000.0,Binance Coin,-2.0335659116360927
7,Binance Coin,BNB,2017-08-01 23:59:59,0.1062659993767738,0.0961093977093696,0.1045949980616569,0.0998668000102043,300413.0,9986680.0,Binance Coin,-4.204507397622603
8,Binance Coin,BNB,2017-08-02 23:59:59,0.1012109965085983,0.0973611995577812,0.0997212007641792,0.1004519984126091,256793.0,10045200.0,Binance Coin,0.5859789262748105
9,Binance Coin,BNB,2017-08-03 23:59:59,0.1069779992103576,0.0991197004914283,0.1003279983997345,0.1066420003771781,293008.0,10664200.0,Binance Coin,6.162149148236362
10,Binance Coin,BNB,2017-08-04 23:59:59,0.107755996286869,0.1026989966630935,0.106684997677803,0.1074939966201782,287621.0,10749400.0,Binance Coin,0.7989312278339655
11,Binance Coin,BNB,2017-08-05 23:59:59,0.1446530073881149,0.1070699989795684,0.1074180006980896,0.1288709938526153,542878.0,12887100.0,Binance Coin,19.886689400870527
12,Binance Coin,BNB,2017-08-06 23:59:59,0.1329880058765411,0.1273799985647201,0.1292929947376251,0.1309989988803863,393681.0,13099900.0,Binance Coin,1.6512676469343512
13,Binance Coin,BNB,2017-08-07 23:59:59,0.1497649997472763,0.1333000063896179,0.1339579969644546,0.1488479971885681,748177.0,14884800.0,Binance Coin,13.625293674556627
14,Binance Coin,BNB,2017-08-08 23:59:59,0.2269250005483627,0.1477659940719604,0.1489980071783065,0.2244209945201873,2617340.0,22442100.0,Binance Coin,50.771927576478944
15,Binance Coin,BNB,2017-08-09 23:59:59,0.2606250047683716,0.2221579998731613,0.2247480005025863,0.2429119944572448,3075320.0,24291200.0,Binance Coin,8.239425182386029
